"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Click loss","run-rank0-clicks - Click loss__MIN","run-rank0-clicks - Click loss__MAX"
"2147","10731","10731","10731","0.3450969159603119","0.3450969159603119","0.3450969159603119"
"2156","10776","10776","10776","0.1578499674797058","0.1578499674797058","0.1578499674797058"
"2160","10796","10796","10796","0.2050320953130722","0.2050320953130722","0.2050320953130722"
"2173","10861","10861","10861","0.20981188118457794","0.20981188118457794","0.20981188118457794"
"2202","11006","11006","11006","0.3126099109649658","0.3126099109649658","0.3126099109649658"
"2219","11091","11091","11091","0.29986104369163513","0.29986104369163513","0.29986104369163513"
"2226","11126","11126","11126","0.30676379799842834","0.30676379799842834","0.30676379799842834"
"2229","11141","11141","11141","0.2106536477804184","0.2106536477804184","0.2106536477804184"
"2231","11151","11151","11151","0.2510600984096527","0.2510600984096527","0.2510600984096527"
"2255","11271","11271","11271","0.3240111470222473","0.3240111470222473","0.3240111470222473"
"2273","11361","11361","11361","0.27466315031051636","0.27466315031051636","0.27466315031051636"
"2283","11411","11411","11411","0.25062164664268494","0.25062164664268494","0.25062164664268494"
"2295","11471","11471","11471","0.3312322199344635","0.3312322199344635","0.3312322199344635"
"2298","11486","11486","11486","0.3087523579597473","0.3087523579597473","0.3087523579597473"
"2302","11506","11506","11506","0.2725123167037964","0.2725123167037964","0.2725123167037964"
"2308","11536","11536","11536","0.23522090911865234","0.23522090911865234","0.23522090911865234"
"2317","11581","11581","11581","0.27867260575294495","0.27867260575294495","0.27867260575294495"
"2332","11656","11656","11656","0.346098393201828","0.346098393201828","0.346098393201828"
"2341","11701","11701","11701","0.3489678204059601","0.3489678204059601","0.3489678204059601"
"2353","11761","11761","11761","0.41416531801223755","0.41416531801223755","0.41416531801223755"
"2379","11891","11891","11891","0.2826789617538452","0.2826789617538452","0.2826789617538452"
"2384","11916","11916","11916","0.2669919729232788","0.2669919729232788","0.2669919729232788"
"2387","11931","11931","11931","0.4368206262588501","0.4368206262588501","0.4368206262588501"
"2415","12071","12071","12071","0.16644257307052612","0.16644257307052612","0.16644257307052612"
"2448","12236","12236","12236","0.197905495762825","0.197905495762825","0.197905495762825"
"2465","12321","12321","12321","0.2519679069519043","0.2519679069519043","0.2519679069519043"
"2470","12346","12346","12346","0.435741662979126","0.435741662979126","0.435741662979126"
"2471","12351","12351","12351","0.24439223110675812","0.24439223110675812","0.24439223110675812"
"2487","12431","12431","12431","0.38777807354927063","0.38777807354927063","0.38777807354927063"
"2492","12456","12456","12456","0.08799098432064056","0.08799098432064056","0.08799098432064056"
"2511","12551","12551","12551","0.09660767018795013","0.09660767018795013","0.09660767018795013"
"2545","12721","12721","12721","0.33369484543800354","0.33369484543800354","0.33369484543800354"
"2578","12886","12886","12886","0.2404952198266983","0.2404952198266983","0.2404952198266983"
"2594","12966","12966","12966","0.1318390816450119","0.1318390816450119","0.1318390816450119"
"2597","12981","12981","12981","0.36139124631881714","0.36139124631881714","0.36139124631881714"
