"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - MLM loss","run-rank0-clicks - MLM loss__MIN","run-rank0-clicks - MLM loss__MAX"
"3151","15754","15754","15754","4.906498908996582","4.906498908996582","4.906498908996582"
"3167","15834","15834","15834","4.893566608428955","4.893566608428955","4.893566608428955"
"3173","15864","15864","15864","4.913358688354492","4.913358688354492","4.913358688354492"
"3176","15879","15879","15879","4.718001365661621","4.718001365661621","4.718001365661621"
"3212","16059","16059","16059","4.877665042877197","4.877665042877197","4.877665042877197"
"3217","16084","16084","16084","4.474021911621094","4.474021911621094","4.474021911621094"
"3219","16094","16094","16094","4.734293460845947","4.734293460845947","4.734293460845947"
"3222","16109","16109","16109","4.452508926391602","4.452508926391602","4.452508926391602"
"3231","16154","16154","16154","4.237294673919678","4.237294673919678","4.237294673919678"
"3262","16309","16309","16309","4.429574012756348","4.429574012756348","4.429574012756348"
"3268","16339","16339","16339","4.177910804748535","4.177910804748535","4.177910804748535"
"3282","16409","16409","16409","4.259724140167236","4.259724140167236","4.259724140167236"
"3302","16509","16509","16509","4.759714126586914","4.759714126586914","4.759714126586914"
"3306","16529","16529","16529","3.4983365535736084","3.4983365535736084","3.4983365535736084"
"3309","16544","16544","16544","4.410930633544922","4.410930633544922","4.410930633544922"
"3310","16549","16549","16549","4.727636337280273","4.727636337280273","4.727636337280273"
"3312","16559","16559","16559","4.222756385803223","4.222756385803223","4.222756385803223"
"3324","16619","16619","16619","4.836073398590088","4.836073398590088","4.836073398590088"
"3352","16759","16759","16759","4.811934471130371","4.811934471130371","4.811934471130371"
"3354","16769","16769","16769","4.248116970062256","4.248116970062256","4.248116970062256"
"3357","16784","16784","16784","4.397335052490234","4.397335052490234","4.397335052490234"
"3361","16804","16804","16804","4.64149284362793","4.64149284362793","4.64149284362793"
"3367","16834","16834","16834","4.39066743850708","4.39066743850708","4.39066743850708"
"3377","16884","16884","16884","5.038280487060547","5.038280487060547","5.038280487060547"
"3380","16899","16899","16899","4.511695384979248","4.511695384979248","4.511695384979248"
"3388","16939","16939","16939","4.657529830932617","4.657529830932617","4.657529830932617"
"3393","16964","16964","16964","5.009109020233154","5.009109020233154","5.009109020233154"
"3403","17014","17014","17014","4.145273685455322","4.145273685455322","4.145273685455322"
"3421","17104","17104","17104","4.647636890411377","4.647636890411377","4.647636890411377"
"3437","17184","17184","17184","4.137903213500977","4.137903213500977","4.137903213500977"
"3449","17244","17244","17244","4.467782497406006","4.467782497406006","4.467782497406006"
"3459","17294","17294","17294","4.15264368057251","4.15264368057251","4.15264368057251"
"3461","17304","17304","17304","4.609979629516602","4.609979629516602","4.609979629516602"
"3468","17339","17339","17339","3.7641854286193848","3.7641854286193848","3.7641854286193848"
"3471","17354","17354","17354","3.9713573455810547","3.9713573455810547","3.9713573455810547"
"3486","17429","17429","17429","4.713917255401611","4.713917255401611","4.713917255401611"
"3493","17464","17464","17464","4.52044677734375","4.52044677734375","4.52044677734375"
"3499","17494","17494","17494","4.5756306648254395","4.5756306648254395","4.5756306648254395"
"3504","17519","17519","17519","4.547871112823486","4.547871112823486","4.547871112823486"
"3509","17544","17544","17544","4.761609077453613","4.761609077453613","4.761609077453613"
"3513","17564","17564","17564","4.521639823913574","4.521639823913574","4.521639823913574"
"3542","17709","17709","17709","4.342071056365967","4.342071056365967","4.342071056365967"
"3563","17814","17814","17814","3.9366793632507324","3.9366793632507324","3.9366793632507324"
"3564","17819","17819","17819","4.0025634765625","4.0025634765625","4.0025634765625"
"3567","17834","17834","17834","4.305159568786621","4.305159568786621","4.305159568786621"
"3569","17844","17844","17844","4.223818778991699","4.223818778991699","4.223818778991699"
"3572","17859","17859","17859","4.337362766265869","4.337362766265869","4.337362766265869"
"3579","17894","17894","17894","4.191133975982666","4.191133975982666","4.191133975982666"
"3581","17904","17904","17904","4.5165791511535645","4.5165791511535645","4.5165791511535645"
"3595","17974","17974","17974","3.9709558486938477","3.9709558486938477","3.9709558486938477"
"3598","17989","17989","17989","4.451115131378174","4.451115131378174","4.451115131378174"
"3606","18029","18029","18029","4.408402919769287","4.408402919769287","4.408402919769287"
"3619","18094","18094","18094","4.394320487976074","4.394320487976074","4.394320487976074"
"3631","18154","18154","18154","4.094529628753662","4.094529628753662","4.094529628753662"
"3638","18189","18189","18189","4.37101411819458","4.37101411819458","4.37101411819458"
"3657","18284","18284","18284","4.350773811340332","4.350773811340332","4.350773811340332"
"3666","18329","18329","18329","3.7950375080108643","3.7950375080108643","3.7950375080108643"
"3680","18399","18399","18399","3.75610613822937","3.75610613822937","3.75610613822937"
"3698","18489","18489","18489","4.262110233306885","4.262110233306885","4.262110233306885"
"3703","18514","18514","18514","3.490954875946045","3.490954875946045","3.490954875946045"
"3738","18689","18689","18689","4.190576553344727","4.190576553344727","4.190576553344727"
"3751","18754","18754","18754","4.192220687866211","4.192220687866211","4.192220687866211"
"3762","18809","18809","18809","3.6075048446655273","3.6075048446655273","3.6075048446655273"
"3766","18829","18829","18829","3.6962599754333496","3.6962599754333496","3.6962599754333496"
"3772","18859","18859","18859","3.9834961891174316","3.9834961891174316","3.9834961891174316"
"3773","18864","18864","18864","4.240858554840088","4.240858554840088","4.240858554840088"
"3783","18914","18914","18914","4.429534435272217","4.429534435272217","4.429534435272217"
"3802","19009","19009","19009","4.414156913757324","4.414156913757324","4.414156913757324"
"3815","19074","19074","19074","4.6241135597229","4.6241135597229","4.6241135597229"
"3836","19179","19179","19179","4.159386157989502","4.159386157989502","4.159386157989502"
"3854","19269","19269","19269","3.999697685241699","3.999697685241699","3.999697685241699"
"3872","19359","19359","19359","4.404722213745117","4.404722213745117","4.404722213745117"
