"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Total loss","run-multi-task-without-debiasing - Total loss__MIN","run-multi-task-without-debiasing - Total loss__MAX"
"2022","10105","10105","10105","6.057180881500244","6.057180881500244","6.057180881500244"
"2026","10125","10125","10125","7.566856861114502","7.566856861114502","7.566856861114502"
"2057","10280","10280","10280","6.183723449707031","6.183723449707031","6.183723449707031"
"2067","10330","10330","10330","7.7940216064453125","7.7940216064453125","7.7940216064453125"
"2078","10385","10385","10385","6.493895053863525","6.493895053863525","6.493895053863525"
"2080","10395","10395","10395","6.361804962158203","6.361804962158203","6.361804962158203"
"2094","10465","10465","10465","6.2710490226745605","6.2710490226745605","6.2710490226745605"
"2113","10560","10560","10560","5.897497177124023","5.897497177124023","5.897497177124023"
"2118","10585","10585","10585","6.548070907592773","6.548070907592773","6.548070907592773"
"2122","10605","10605","10605","7.4707183837890625","7.4707183837890625","7.4707183837890625"
"2146","10725","10725","10725","5.785068511962891","5.785068511962891","5.785068511962891"
"2162","10805","10805","10805","7.684759140014648","7.684759140014648","7.684759140014648"
"2178","10885","10885","10885","5.932561874389648","5.932561874389648","5.932561874389648"
"2183","10910","10910","10910","7.846210956573486","7.846210956573486","7.846210956573486"
"2197","10980","10980","10980","6.710923671722412","6.710923671722412","6.710923671722412"
"2217","11080","11080","11080","6.877297401428223","6.877297401428223","6.877297401428223"
"2218","11085","11085","11085","8.384119033813477","8.384119033813477","8.384119033813477"
"2223","11110","11110","11110","6.829442977905273","6.829442977905273","6.829442977905273"
"2240","11195","11195","11195","6.49741792678833","6.49741792678833","6.49741792678833"
"2243","11210","11210","11210","5.7616868019104","5.7616868019104","5.7616868019104"
"2252","11255","11255","11255","7.247471332550049","7.247471332550049","7.247471332550049"
"2255","11270","11270","11270","7.505046844482422","7.505046844482422","7.505046844482422"
"2257","11280","11280","11280","5.6546478271484375","5.6546478271484375","5.6546478271484375"
"2258","11285","11285","11285","5.643633842468262","5.643633842468262","5.643633842468262"
"2266","11325","11325","11325","6.733101844787598","6.733101844787598","6.733101844787598"
"2285","11420","11420","11420","5.630806922912598","5.630806922912598","5.630806922912598"
"2296","11475","11475","11475","6.138248920440674","6.138248920440674","6.138248920440674"
